ID,from (flight date),to,location,Years,notes
1,14/09/2022 09:00,03/10/2022,ITA,2022,
2,03/10/2022 09:00,12/10/2022,UK,2022,
3,12/10/2022 09:00,02/11/2022,ITA,2022,12-13 october from London
4,02/11/2022 09:00,13/13/2022,UK,2022,
5,13/11/2022 09:00,30/11/2022,ITA,2022,"mark(Barcellona, Spain)"
6,30/11/2022 09:00,16/12/2022,UK,2022,
7,16/12/2022 09:00,06/01/2023,ITA,2022,
8,06/01/2023 09:00,14/01/2023,UK,2023,
9,14/01/2023 09:00,01/02/2023,ITA,2023,
10,01/02/2023 09:00,16/02/2023,UK,2023,
11,16/02/2023 09:00,02/03/2023,ITA,2023,mark
12,02/03/2023 09:00,18/03/2023,UK,2023,
13,18/03/2023 09:00,02/04/2023,ITA,2023,
14,02/04/2023 09:00,15/04/2023,UK,2023,
15,15/04/2023 09:00,01/05/2023,ITA,2023,
16,01/05/2023 09:00,13/05/2023,UK,2023,
17,13/05/2023 09:00,01/06/2023,ITA,2023,13-14 may for Italy; mark (29-1Lausanne)
18,01/06/2023 09:00,14/06/2023,UK,2023,
19,14/06/2023 09:00,01/07/2023,ITA,2023,
20,01/07/2023 09:00,15/07/2023,UK,2023,
21,15/07/2023 09:00,24/07/2023,ITA,2023,
22,24/07/2023 09:00,11/08/2023,UK,2023,
23,11/08/2023 09:00,02/09/2023,ITA,2023,
24,02/09/2023 09:00,14/09/2023,UK,2023,
25,14/09/2023 09:00,29/09/2023,ITA,2023,27-29 sept from Venice to Germany; mark
26,29/09/2023 09:00,13/10/2023,UK,2023,
27,13/10/2023 09:00,01/11/2024,ITA,2023,
28,01/11/2024 09:00,17/11/2024,UK,2023,
29,17/11/2024 09:00,02/12/2023,ITA,2023,
30,02/12/2023 09:00,13/12/2023,UK,2023,
31,13/12/2023 09:00,03/01/2024,ITA,2023,13-14 dec from London; no ticket; mark
32,03/01/2024 09:00,14/01/2024,UK,2024,
33,14/01/2024 09:00,30/01/2024,ITA,2024,
34,30/01/2024 09:00,14/02/2024,UK,2024,
35,14/02/2024 09:00,01/03/2024,ITA,2024,mark
36,01/03/2024 09:00,14/03/2024,UK,2024,
37,14/03/2024 09:00,02/04/2024,ITA,2024,
38,02/04/2024 09:00,13/04/2024,UK,2024,
39,13/04/2024 09:00,28/04/2024,ITA,2024,
40,28/04/2024 09:00,11/05/2024,UK,2024,
41,11/05/2024 09:00,17/05/2024,ITA,2024,
42,17/05/2024 09:00,24/05/2024,USA,2024,
43,24/05/2024 09:00,01/06/2024,ITA,2024,
44,01/06/2024 09:00,15/06/2024,UK,2024,
45,15/06/2024 09:00,29/06/2024,ITA,2024,
46,29/06/2024 09:00,12/07/2024,UK,2024,
47,12/07/2024 09:00,31/08/2024,ITA,2024,
48,31/08/2024 09:00,12/09/2024,UK,2024,
49,12/09/2024 09:00,28/09/2024,ITA,2024,
