date,mean_light,median_light,sum_light,std_light,min_light,max_light,TAT_250_MEDI,TAT_2500_lux,Light_M10,Light_M10_Start,Light_L5,Light_L5_Start
21/09/2022,1.289971787,1.513683617,1225.473197,0.813756684,0,3.553471586,5.5,1.5,1.945633402,21/09/2022 16:20,0,21/09/2022 16:05
22/09/2022,1.185253129,1.432608565,3413.529012,0.891386376,0,3.81829717,21.5,4,2.583023548,22/09/2022 16:17,0,23/09/2022 04:58
23/09/2022,1.071269109,1.277723789,3085.255033,0.901448619,0,4.356409474,17,8,2.005145085,23/09/2022 17:22,0,24/09/2022 03:31
24/09/2022,1.386484399,1.803650941,3993.075068,1.024629495,0,3.078456818,74,0,2.401441116,25/09/2022 16:05,0,25/09/2022 04:49
25/09/2022,1.421084185,1.112939976,4092.722452,1.383557376,0,4.710747862,377,122,2.533857589,25/09/2022 16:06,0,26/09/2022 04:17
26/09/2022,1.251515241,1.524915148,3604.363895,0.931199636,0,4.658066849,26.5,4,2.318748336,26/09/2022 17:51,0,27/09/2022 04:57
27/09/2022,1.248915793,1.628056695,3596.877484,0.909955419,0,3.287928866,18.5,0,1.929486521,27/09/2022 20:59,0,28/09/2022 04:22
28/09/2022,1.170760695,1.191311258,3371.790801,0.862495871,0,3.171308043,12.5,0,1.958439552,28/09/2022 17:48,0,29/09/2022 06:09
29/09/2022,1.226676061,1.396896449,3532.827057,0.89236883,0,4.38478212,19,9.5,1.883988846,29/09/2022 19:36,0,30/09/2022 04:52
30/09/2022,1.061255421,1.20310091,3056.415611,0.899796916,0,3.057502547,18,0,2.196468592,30/09/2022 16:09,0,01/10/2022 04:00
01/10/2022,1.177076593,0.645422269,3389.980588,1.333557417,0,4.804828166,360.5,50.5,2.842616569,01/10/2022 16:05,0.001318967,02/10/2022 08:14
02/10/2022,1.577012361,1.425697213,4541.795601,1.39763851,0,4.995303864,431,133.5,3.234117224,02/10/2022 16:05,0,03/10/2022 05:43
03/10/2022,1.382829594,1.36604921,3982.54923,1.108208441,0,4.369386387,201,43.5,2.802261024,03/10/2022 16:17,0,04/10/2022 05:06
04/10/2022,1.096148258,1.191311258,3156.906983,0.980741541,0,4.067581141,94,17,2.659238571,04/10/2022 16:05,0.149943069,05/10/2022 05:34
05/10/2022,1.147276818,1.236663199,3304.157237,0.87618261,0,3.953369183,49,3.5,2.004832064,05/10/2022 16:42,0.00082764,06/10/2022 05:07
06/10/2022,1.199472171,1.220170195,3454.479852,0.98732068,0,4.178099419,126.5,21.5,1.99036271,06/10/2022 17:10,0,07/10/2022 06:06
07/10/2022,1.305079211,1.166726056,3758.628127,1.238817329,0,4.64928013,233.5,46.5,3.21007227,07/10/2022 16:05,0,08/10/2022 05:22
08/10/2022,0.843669295,0,2429.76757,1.028418868,0,4.743146656,94,25,1.743868252,09/10/2022 16:05,0,08/10/2022 16:05
09/10/2022,1.26832309,1.282566791,3652.7705,1.092748471,0,3.463083343,170,0.5,2.76105725,09/10/2022 16:05,0,10/10/2022 05:59
10/10/2022,1.362694144,1.14066514,3924.559135,1.282025456,0,4.827240387,281,93,2.738777231,10/10/2022 16:06,0,11/10/2022 05:26
11/10/2022,1.198767745,0.816738299,3452.451106,1.21473636,0,4.676956301,205,50.5,3.314168948,11/10/2022 16:25,0,12/10/2022 04:52
12/10/2022,0.965937378,1.083323418,2781.899648,0.867241547,0,3.673367467,32.5,3.5,2.543150196,12/10/2022 16:10,0,13/10/2022 05:30
13/10/2022,1.295152628,1.522125418,3730.039569,0.913771159,0,2.921491389,38.5,0,2.074082686,13/10/2022 17:18,0.002525019,14/10/2022 06:00
14/10/2022,1.122707835,1.236663199,3233.398566,0.884455141,0,4.45041648,36.5,8.5,2.268295726,15/10/2022 16:05,0,15/10/2022 04:08
15/10/2022,1.407676238,1.24729799,4054.107566,1.286509405,0,4.36063809,344,77,2.654793084,15/10/2022 16:30,0,16/10/2022 05:09
16/10/2022,1.421633233,1.301520669,4094.303711,1.389083002,0,4.538123498,392.5,113.5,3.54572018,16/10/2022 16:05,0,17/10/2022 05:13
17/10/2022,1.219356113,1.478133428,3511.745605,0.906542564,0,3.21167174,9,0,2.322399448,17/10/2022 16:06,0,18/10/2022 04:29
18/10/2022,,1.459203951,,,,3.59502309,5.5,1.5,2.256009074,18/10/2022 16:06,0,19/10/2022 05:17
19/10/2022,1.118410356,1.214578954,3221.021825,0.994421053,0,4.705834217,66.5,6.5,2.742312631,19/10/2022 16:05,0,20/10/2022 05:14
20/10/2022,0.986178798,1.112939976,2840.194937,0.725678735,0,3.81375974,11,3,1.47504859,20/10/2022 18:47,0,21/10/2022 05:56
21/10/2022,1.050233627,1.15389105,3024.672845,0.928449895,0,3.478159424,61,2,2.706606848,21/10/2022 16:05,0,22/10/2022 06:19
22/10/2022,1.261378932,1.20310091,3632.771323,1.214408023,0,4.128008745,256.5,32.5,2.657904917,22/10/2022 17:04,0,23/10/2022 04:43
23/10/2022,1.212863704,1.179192603,3493.047467,1.169882898,0,4.009158435,186,20,3.529233354,23/10/2022 16:15,0,24/10/2022 03:08
24/10/2022,1.131899728,1.373968849,3259.871216,0.862350795,0,2.664094062,0,0,1.846194813,24/10/2022 19:10,0,25/10/2022 04:42
25/10/2022,1.175869715,1.446109807,3386.50478,0.940453764,0,4.280060003,28.5,15.5,2.238216575,25/10/2022 16:05,0.043268665,26/10/2022 04:08
26/10/2022,1.179411584,1.373968849,3396.705363,0.894804495,0,4.366074448,15.5,6.5,1.864792866,26/10/2022 16:05,0,27/10/2022 04:54
27/10/2022,1.206575567,1.287409793,3474.937633,0.932930308,0,3.927125939,49.5,3,2.101257186,27/10/2022 16:05,0,28/10/2022 05:16
28/10/2022,1.049621766,0.787460475,3022.910685,1.108791975,0,4.765745201,151.5,26.5,2.192622022,29/10/2022 16:05,0,29/10/2022 02:39
29/10/2022,1.301587019,1.127023766,3748.570614,1.221500467,0,4.277911396,266.5,44,2.424234111,30/10/2022 16:05,0,30/10/2022 04:32
30/10/2022,1.29047129,0.980003372,3716.557314,1.338970035,0,5.163117526,291,127,1.899148207,31/10/2022 16:05,0,31/10/2022 03:41
31/10/2022,1.153789719,1.341385058,3322.914389,0.98853738,0,4.823922443,44,12.5,2.211999316,01/11/2022 16:05,0,01/11/2022 04:15
01/11/2022,1.25695762,1.017242126,3620.037947,1.272034761,0,4.6751243,287.5,75.5,2.145183257,01/11/2022 16:11,0,02/11/2022 04:50
02/11/2022,1.16573056,1.179192603,3357.304013,0.981846016,0,4.359601014,127.5,23.5,1.860997321,03/11/2022 16:05,0.000597351,03/11/2022 05:21
03/11/2022,1.202456244,1.090853764,3463.073983,1.150187099,0,4.827958338,119,35,2.239288853,03/11/2022 16:56,0,04/11/2022 03:53
04/11/2022,1.094120861,1.090853764,3151.068081,1.021798765,0,4.729144776,60,7.5,1.74448644,04/11/2022 16:43,0,05/11/2022 05:49
05/11/2022,0.859338973,0.722222464,2474.896243,0.897935664,0,3.593321518,47.5,4,2.395365714,05/11/2022 16:05,0,06/11/2022 06:57
06/11/2022,0.634706148,0.154576117,1827.953707,0.769575654,0,2.575092544,0,0,1.823869086,06/11/2022 16:18,0,07/11/2022 04:37
07/11/2022,1.15994576,1.179192603,3340.643788,1.03108417,0,3.243119936,41.5,0,2.639680683,07/11/2022 16:05,0.001779536,08/11/2022 05:35
08/11/2022,1.129247994,1.025985412,3252.234224,1.123036152,0,4.114756392,156,32,3.095327343,08/11/2022 16:05,0,09/11/2022 05:21
09/11/2022,1.219706675,1.083323418,3512.755223,1.160609893,0,4.879189842,203.5,22,2.387260126,09/11/2022 17:10,0,10/11/2022 05:19
10/11/2022,0.996625145,0.601244925,2870.280418,1.088153128,0,3.808943859,116,15.5,2.117138666,10/11/2022 16:05,0.001490527,11/11/2022 06:02
11/11/2022,1.176950119,1.051538391,3389.616343,1.17463738,0,4.977981728,167.5,23,2.26857053,11/11/2022 16:52,0,12/11/2022 04:32
12/11/2022,0.787591718,0,2268.264147,1.006597722,0,4.115610844,87.5,3,2.888210809,12/11/2022 16:05,0,13/11/2022 05:02
13/11/2022,0.792676418,0.601244925,2282.908084,0.860293679,0,4.396055605,26.5,7,1.940612959,13/11/2022 16:19,0,14/11/2022 05:03
14/11/2022,0.963410735,0.756065294,2774.622916,1.010749669,0,3.689450936,55.5,4,1.747115427,15/11/2022 16:05,0,15/11/2022 04:28
15/11/2022,1.117969307,1.31523541,3219.751605,0.966393094,0,3.3275843,13.5,0,1.909402268,15/11/2022 18:04,0,16/11/2022 04:17
16/11/2022,0.947218832,0.939269586,2727.990236,0.853950513,0,3.673997202,10,2.5,1.907355632,16/11/2022 16:51,0,17/11/2022 05:16
17/11/2022,1.158159597,1.349763044,3335.499639,0.968535322,0,4.086729891,42,14.5,1.902354009,17/11/2022 16:44,0,18/11/2022 05:17
18/11/2022,,0.496583734,,,,3.685025682,19.5,3.5,1.964059177,18/11/2022 16:05,0,19/11/2022 04:22
19/11/2022,1.266420104,1.628056695,3647.289899,1.012414683,0,3.104472771,51,0,2.450906385,19/11/2022 16:06,0,20/11/2022 04:41
20/11/2022,1.079102519,0,3107.815254,1.341959715,0,5.058159824,285.5,97.5,2.73792182,20/11/2022 16:05,0,21/11/2022 03:07
21/11/2022,0.994177853,1.166726056,2863.232218,0.871250863,0,3.898444335,24.5,6.5,1.88942777,21/11/2022 16:05,0,22/11/2022 03:25
22/11/2022,0.919953286,1.051538391,2649.465463,0.783821468,0,2.536914948,0,0,2.155915308,22/11/2022 16:06,0,23/11/2022 04:28
23/11/2022,1.048650094,1.277723789,3020.11227,0.918927835,0,4.278420209,15.5,5,2.020079069,23/11/2022 16:45,0,24/11/2022 04:00
24/11/2022,0.914711238,0.939269586,2634.368365,0.88384739,0,4.291444335,33,9.5,1.853250505,25/11/2022 16:05,0,25/11/2022 03:32
25/11/2022,1.287964524,1.562084591,3709.337829,0.915030432,0,3.984628112,29.5,7,2.526355278,25/11/2022 16:06,0.11191233,26/11/2022 06:02
26/11/2022,0.851142523,0.432969291,2451.290468,0.98094584,0,4.122946517,91.5,6.5,2.055212086,27/11/2022 16:05,0,27/11/2022 04:30
27/11/2022,1.227510641,1.14066514,3535.230646,1.217475495,0,4.717645876,252.5,61.5,1.798325978,28/11/2022 16:05,0,28/11/2022 05:01
28/11/2022,1.106234565,1.296884476,3185.955546,0.933627946,0,3.084000411,12.5,0,2.114293987,28/11/2022 16:05,0,29/11/2022 03:30
29/11/2022,1.148301151,1.389387607,3307.107314,0.868331429,0,3.414435158,3.5,0.5,2.18692258,29/11/2022 16:07,0,30/11/2022 05:13
30/11/2022,0.952150804,0.917374204,2742.194316,0.904724125,0,3.898068857,33.5,6,2.438700533,30/11/2022 16:05,0,01/12/2022 05:37
01/12/2022,1.164153812,1.083323418,3352.762977,1.095143414,0,3.279524361,116,0,2.512704038,01/12/2022 16:05,0,02/12/2022 04:42
02/12/2022,1.2279297,1.127023766,3536.437535,1.198654089,0,3.980453349,231.5,47,2.465845616,02/12/2022 16:20,0.214947946,03/12/2022 10:18
03/12/2022,0.685901058,0.756065294,1975.395048,0.693301583,0,3.058152606,12,0,1.224401734,03/12/2022 17:07,0,03/12/2022 16:05
04/12/2022,0.615428428,0,1772.433871,0.790881501,0,2.66610127,0,0,1.634240747,05/12/2022 16:05,0,05/12/2022 05:00
05/12/2022,1.108965499,1.09838411,3193.820638,1.029943885,0,3.1413927,48,0,2.135360678,05/12/2022 16:13,0,06/12/2022 05:15
06/12/2022,1.301038688,1.067721624,3746.991423,1.221387096,0,3.597281532,271.5,10,2.407940936,06/12/2022 17:01,0,06/12/2022 16:05
07/12/2022,1.066567295,0.869964706,3071.713811,1.01552897,0,3.634669687,72,9,2.668333671,07/12/2022 16:06,0.595463158,08/12/2022 07:55
08/12/2022,1.342978613,0.999021736,3867.778406,0.959334864,0,3.488891814,165.5,1,2.782423455,08/12/2022 16:06,0,09/12/2022 04:49
09/12/2022,0.929419835,0.722222464,2676.729125,1.024839679,0,3.443738495,89,0.5,2.124149597,09/12/2022 16:06,0,10/12/2022 05:45
10/12/2022,0.468469917,0,1349.193361,0.676792631,0,4.488403342,7.5,2.5,1.43148547,10/12/2022 16:05,0,11/12/2022 05:33
11/12/2022,0.623750253,0.432969291,1796.400729,0.703816846,0,3.263832463,4.5,0,1.728177847,12/12/2022 16:05,0,11/12/2022 16:05
12/12/2022,1.16429214,1.067721624,3353.161364,1.069562426,0,2.990456516,80.5,0,2.703310727,12/12/2022 16:05,0,13/12/2022 04:52
13/12/2022,1.002790792,0.787460475,2888.037481,1.046030187,0,3.6450507,114.5,13,2.039647994,13/12/2022 16:07,0,14/12/2022 05:12
14/12/2022,0.752756247,0.552059534,2167.93799,0.901157528,0,3.625971625,74.5,14,2.423074096,14/12/2022 16:11,0,15/12/2022 04:47
15/12/2022,0.870341085,0.601244925,2506.582325,0.935216592,0,3.18558748,38.5,0,1.273593717,16/12/2022 16:05,0,16/12/2022 06:47
16/12/2022,0.888617014,0.756065294,2559.216999,0.932943997,0,4.290950563,48,2,2.388557113,16/12/2022 16:05,0,17/12/2022 04:36
17/12/2022,0.96272166,0.816738299,2772.638382,0.965900002,0,3.332878591,61.5,0,1.91717516,17/12/2022 16:05,0,18/12/2022 04:42
18/12/2022,1.139699447,1.220170195,3282.334408,0.929706718,0,4.190822874,45.5,3,1.835770733,18/12/2022 16:13,0,19/12/2022 05:30
